folder,folder2,context,n_rumbles
102_Greeting,102,Greeting,2
103_Contact,103,Contact,5
107_Greeting,107,Greeting,23
112_Contact,112,Contact,5
113_Greeting,113,Greeting,8
115_Greeting,115,Greeting,19
119_Cadenced,119,Cadenced,7
120_Cadenced,120,Cadenced,7
120_Greeting,120,Greeting,4
124_Greeting,124,Greeting,7
125_Little greeting,125,Little greeting,4
126_Coo,126,Coo,1
127_Greeting,127,Greeting,4
131_Contact,131,Contact,3
133_Cadenced,133,Cadenced,5
136_Little greeting,136,Little greeting,3
137_Cadenced,137,Cadenced,12
152_Cadenced,152,Cadenced,3
154_Cadenced,154,Cadenced,10
155_Cadenced,155,Cadenced,4
157_Little greeting,157,Little greeting,3
159_Little greeting,159,Little greeting,4
176_Contact,176,Contact,11
178_Greeting,178,Greeting,8
179_Greeting,179,Greeting,6
180_Little greeting,180,Little greeting,3
184_Greeting,184,Greeting,1
185_Little greeting,185,Little greeting,3
187_Cadenced,187,Cadenced,3
189_Greeting,189,Greeting,3
191_Lets go,191,Lets go,4
193_Greeting,193,Greeting,5
196_Lets go,196,Lets go,8
198_Greeting,198,Greeting,4
199_Cadenced,199,Cadenced,8
203_Greeting,203,Greeting,3
204_Little greeting,204,Little greeting,4
207_Little greeting,207,Little greeting,5
209_Little greeting,209,Little greeting,3
210_Greeting,210,Greeting,4
221_Contact,221,Contact,7
223_Contact,223,Contact,3
225_Greeting,225,Greeting,2
226_Greeting,226,Greeting,5
229_Greeting,229,Greeting,4
231_Contact,231,Contact,1
237_Coo,237,Coo,4
246_Greeting,246,Greeting,11
247_Greeting,247,Greeting,10
250_Lets go,250,Lets go,3
254_Little greeting,254,Little greeting,5
259_Little greeting,259,Little greeting,3
26_Coo,26,Coo,2
262_Contact,262,Contact,4
263_Cadenced,263,Cadenced,6
264_Little greeting,264,Little greeting,1
266_Contact,266,Contact,1
268_Little greeting,268,Little greeting,1
269_Little greeting,269,Little greeting,1
27_Little greeting,27,Little greeting,4
274_Contact,274,Contact,2
274_Greeting,274,Greeting,3
30_Cadenced,30,Cadenced,10
31_Cadenced,31,Cadenced,3
32_Cadenced,32,Cadenced,2
37_Greeting,37,Greeting,1
40_Little greeting,40,Little greeting,3
48_Coo,48,Coo,10
53_Coo,53,Coo,5
58_Lets go,58,Lets go,15
61_Contact,61,Contact,1
62_Little greeting,62,Little greeting,2
63_Little greeting,63,Little greeting,2
67_Coo,67,Coo,2
70_Cadenced,70,Cadenced,4
71_Cadenced,71,Cadenced,8
72_Cadenced,72,Cadenced,10
73_Little greeting,73,Little greeting,2
75_Coo,75,Coo,4
77_Coo,77,Coo,6
83_Greeting,83,Greeting,3
85_Coo,85,Coo,6
85_Lets go,85,Lets go,3
86_Little greeting,86,Little greeting,2
87_Contact,87,Contact,7
88_Little greeting,88,Little greeting,1
91_Contact,91,Contact,9
92_Contact,92,Contact,11
92_Greeting,92,Greeting,2
93_Greeting,93,Greeting,12
156_Lets go,156,Lets go,3
159_Contact,159,Contact,3