conversation_id,context_type,n_rumbles,convergence_logpow_band1,convergence_logpow_band2,convergence_logpow_band3,convergence_logpow_band4,convergence_logpow_band5,convergence_logpow_band6,convergence_logpow_band7,convergence_logpow_band8,convergence_logpow_band9,convergence_logpow_band10,convergence_logpow_band11,convergence_logpow_band12,convergence_logpow_band13,convergence_logpow_band14,convergence_logpow_band15,convergence_logpow_band16,convergence_logpow_band17,convergence_logpow_band18,convergence_logpow_band19,convergence_logpow_band20,convergence_logpow_band21,convergence_logpow_band22,convergence_logpow_band23,convergence_logpow_band24,convergence_logpow_band25,convergence_logpow_band26,convergence_logpow_band27,convergence_logpow_band28,convergence_logpow_band29,convergence_overall,adjacent_diffs
31_Cadenced,Cadenced,4,-0.14,-0.10,-0.41,2.19,1.73,0.10,0.03,0.61,0.08,1.13,0.59,0.61,1.07,0.70,0.10,-0.05,0.59,3.04,3.40,-0.19,2.80,1.58,1.33,-1.84,0.08,2.84,1.13,2.58,0.93,0.61,44;33;30
70_Cadenced,Cadenced,5,0.88,-0.74,1.13,1.65,1.19,-0.67,-1.07,-6.73,0.00,0.64,5.43,3.64,2.11,2.13,0.22,-0.29,-0.46,-1.34,-2.03,-1.24,-1.40,-1.22,-1.02,-0.26,-0.64,0.24,0.14,-0.03,0.29,-0.12,41;17;33;36
71_Cadenced,Cadenced,10,0.54,0.47,-1.97,1.09,0.11,-0.48,-0.91,-0.25,-1.44,-3.93,0.89,0.94,-0.55,-1.14,-0.65,0.54,1.05,1.27,0.34,0.59,1.84,0.71,0.01,-0.03,-0.07,-1.50,-0.15,-0.59,-1.39,0.09,44;32;17;18;31;29;34;20;34
155_Cadenced,Cadenced,3,-2.55,-2.92,-2.89,1.07,1.84,-2.77,-3.10,1.21,-1.48,-4.31,0.80,0.83,-1.27,3.67,4.10,2.74,2.06,1.90,3.02,3.22,2.42,4.90,1.32,5.65,0.89,-4.63,-2.04,-2.48,2.83,0.68,45;32
263_Cadenced,Cadenced,10,0.74,-2.96,0.15,0.88,-1.19,-0.61,1.05,0.73,1.77,1.78,0.15,3.38,0.58,0.25,1.24,0.67,-2.52,0.18,1.64,-1.10,3.08,-3.79,0.35,0.12,-0.07,1.63,0.81,1.08,0.38,0.42,22;33;35;26;31;26;39;22;14
154_Cadenced,Cadenced,10,2.47,2.54,-0.34,3.27,0.19,2.45,2.45,2.54,1.48,2.46,1.24,2.70,1.97,-0.05,1.84,3.37,-0.38,0.21,1.82,-1.23,1.03,2.33,1.17,0.75,1.99,-1.10,-0.52,-0.74,-1.81,1.36,48;34;26;38;17;23;44;14;9
119_Cadenced,Cadenced,7,0.57,-1.47,1.88,0.62,2.33,0.07,3.66,0.72,1.46,-2.20,0.59,1.02,-0.29,0.53,0.30,0.74,0.51,1.52,0.72,0.84,1.04,0.61,-0.02,0.94,0.45,0.88,0.78,0.84,1.39,0.48,33;29;23;35;31;17
120_Cadenced,Cadenced,10,0.28,0.03,-0.83,0.77,-2.97,0.40,-0.01,-0.53,0.73,0.14,-0.31,-1.98,-0.43,-4.86,-0.33,1.08,-0.57,-0.23,-1.00,-0.42,-0.47,-0.62,-1.52,-0.53,-1.28,1.72,-0.71,-0.70,-0.85,-0.30,18;16;26;16;30;27;24;18;25
199_Cadenced,Cadenced,10,-0.55,0.37,-0.51,0.83,1.09,-0.12,-2.27,-1.19,-0.52,0.02,-0.41,-1.12,1.38,2.13,0.25,-0.21,3.43,0.54,0.38,0.22,0.32,0.74,-0.78,-0.82,-0.51,-2.53,-1.39,-2.21,-1.83,-0.08,22;22;31;43;19;31;17;26;34
152_Cadenced,Cadenced,8,-1.47,1.47,0.76,-1.09,0.92,0.81,0.31,-0.52,-0.18,2.25,0.53,0.41,0.36,-0.81,1.58,0.80,0.56,-0.07,-1.82,-1.26,1.93,1.60,1.01,-1.27,-0.35,0.43,-0.11,-0.57,-0.62,0.30,31;27;35;27;21;21;29
30_Cadenced,Cadenced,9,2.53,1.71,3.22,-0.46,0.60,2.50,1.68,-2.01,0.82,1.21,1.60,0.71,0.68,1.55,0.69,-0.76,-2.42,-2.10,-0.77,-3.72,-0.84,0.34,-0.66,-1.37,1.28,0.53,1.60,1.13,1.49,0.56,29;30;31;20;35;43;31;10
137_Cadenced,Cadenced,10,2.14,-0.91,-0.28,4.01,0.66,1.07,3.15,2.99,1.30,1.03,0.76,1.35,1.05,0.97,0.76,1.30,2.65,1.42,3.37,2.11,1.98,2.82,0.49,0.10,0.53,1.11,1.06,0.96,1.03,0.87,43;68;58;28;53;40;45;31;19
187_Cadenced,Cadenced,6,1.23,0.68,2.31,0.85,1.70,1.04,1.90,0.08,-1.79,-0.17,-0.75,-2.24,-3.71,1.12,2.12,-0.47,0.55,0.83,1.96,1.70,1.40,0.03,3.01,0.31,-0.37,1.04,1.53,1.71,0.19,0.51,48;40;26;24;37
32_Cadenced,Cadenced,4,-2.61,1.00,-1.10,-2.57,1.58,1.76,0.63,-0.09,-1.14,3.98,2.89,2.86,4.71,-1.00,-1.11,2.98,-2.58,2.83,2.58,-0.55,-0.33,-0.20,-2.20,1.76,3.09,-0.48,1.52,2.47,2.94,0.57,21;17;14
133_Cadenced,Cadenced,5,0.43,-2.60,-0.44,-1.32,-0.58,-1.02,-0.75,-0.69,-0.88,-1.25,-0.37,0.32,-2.03,-1.53,-0.85,-2.35,-1.86,-1.53,-1.49,-1.06,-1.91,-1.45,-1.50,-0.59,-0.79,-0.87,-1.64,-1.25,-1.94,-0.98,32;61;72;69
72_Cadenced,Cadenced,10,-0.33,0.68,0.00,1.22,1.83,1.88,2.29,3.47,3.49,1.33,0.43,0.22,0.79,0.98,0.71,0.24,-0.81,-1.48,1.68,-1.19,0.67,1.63,1.21,1.47,1.35,0.81,0.29,-0.12,-0.86,0.86,17;21;21;28;36;28;15;13;7
159_Contact,Contact,3,1.74,1.06,0.17,-0.33,0.99,-0.36,0.21,1.49,3.01,-5.20,-3.93,-2.04,-6.02,0.76,-0.14,2.61,0.25,-0.48,-1.35,-1.59,-1.35,-2.31,-4.03,-1.73,-0.71,-0.99,-0.96,-0.50,-0.49,-0.33,43;50
274_Contact,Contact,3,-0.84,1.89,3.55,-0.22,2.46,7.91,4.14,3.69,2.46,1.73,-1.84,-1.32,1.10,2.93,-4.08,0.65,1.18,1.56,8.33,4.00,0.07,-0.56,-1.10,0.90,5.31,7.69,5.50,4.26,3.32,2.10,39;14
266_Contact,Contact,5,-2.52,1.44,-1.88,0.65,-7.68,1.92,1.67,-2.33,-2.56,-1.66,0.46,0.73,2.64,1.16,-0.85,1.18,0.79,0.79,0.29,3.12,1.16,2.01,2.10,1.62,0.46,0.29,2.18,1.67,1.38,0.03,32;17;25;28
262_Contact,Contact,7,4.30,0.89,3.31,0.56,-1.25,3.92,0.97,-1.60,0.11,-1.46,-1.95,0.42,0.55,-2.16,-3.16,-2.30,0.43,-1.86,-1.37,-0.41,1.32,-0.16,-0.14,0.42,-1.99,-1.63,-1.11,1.08,1.65,0.04,35;27;30;33;28;32
221_Contact,Contact,3,1.62,0.24,0.40,-1.67,0.87,1.62,1.03,2.37,-1.77,-1.78,-2.35,1.21,6.89,5.02,5.22,2.23,3.21,4.96,4.77,6.35,5.45,2.76,1.87,1.89,1.77,2.05,1.57,1.98,5.35,1.73,81;34
223_Contact,Contact,4,1.42,1.37,0.51,-3.33,0.43,-1.02,3.46,2.75,2.49,-3.85,-1.80,1.12,-0.31,-0.38,1.02,-2.56,-2.24,0.45,0.91,0.60,-0.01,-1.81,-1.47,-0.13,0.97,0.02,-0.53,-1.77,-0.19,0.34,46;56;36
61_Contact,Contact,3,0.93,3.31,0.42,0.22,-2.84,-0.36,-2.11,-0.08,-4.99,-2.42,0.90,-0.11,-1.18,-7.40,-3.73,-8.66,0.40,-2.82,-2.50,-3.69,-8.44,-5.81,-0.70,0.72,5.42,6.41,7.26,2.11,3.75,-0.32,35;41
176_Contact,Contact,10,-1.15,0.57,0.49,-0.40,-0.41,1.43,1.04,1.57,1.46,-0.29,1.61,0.38,1.85,1.74,1.63,0.83,0.00,0.60,1.22,1.13,0.29,0.63,-2.19,0.55,0.59,-0.47,1.42,0.77,0.46,0.48,23;44;43;25;20;20;28;26;20
231_Contact,Contact,3,1.26,-0.50,-4.60,-0.35,0.82,-0.75,-0.47,0.16,-2.53,-3.58,-0.71,2.45,-0.35,-0.69,4.88,-2.73,2.65,0.39,-3.41,-4.28,-1.82,1.77,2.09,3.61,4.08,3.24,4.26,3.35,2.60,0.02,37;36
103_Contact,Contact,6,0.11,-1.96,-6.00,2.05,-0.17,0.45,1.72,0.08,-0.77,0.18,0.59,1.55,1.58,1.08,-0.14,0.42,0.50,2.59,1.16,0.66,0.28,1.00,2.06,4.09,1.96,2.79,4.17,3.13,1.87,0.95,89;56;17;69;31
92_Contact,Contact,7,3.25,-2.38,2.42,-0.95,-1.36,-1.16,0.52,1.47,2.16,0.94,3.17,2.69,1.24,1.06,0.48,1.22,2.91,1.20,-0.99,-2.40,0.36,0.88,0.61,0.16,-0.10,0.12,-0.07,0.38,0.48,0.49,58;41;30;58;32;34
112_Contact,Contact,4,2.95,-0.31,1.79,0.37,1.36,1.90,1.48,-2.82,0.92,-0.64,-1.46,-1.41,-0.51,1.87,0.45,0.27,0.69,1.06,1.16,1.13,1.56,0.98,1.38,2.55,2.56,2.79,4.69,10.46,3.60,1.21,73;38;33
131_Contact,Contact,4,0.80,0.94,-0.52,5.89,0.35,-0.30,0.76,0.34,-1.15,-1.14,-2.34,3.56,-0.32,0.85,-0.43,-0.90,-2.04,-0.14,-1.36,-0.83,-0.31,0.13,-0.54,-0.06,-0.00,0.58,0.54,0.73,0.78,0.17,42;32;38
91_Contact,Contact,9,0.61,0.37,0.87,-1.35,2.10,1.86,0.96,-0.95,-1.27,-0.85,-0.42,0.13,-0.52,-1.25,0.67,-1.72,-1.12,-0.71,-0.78,-4.02,-1.45,-0.24,-0.13,-0.73,-0.40,1.06,0.77,0.58,0.88,-0.09,36;32;62;37;57;82;30;36
87_Contact,Contact,3,-3.21,0.16,3.59,-6.76,3.27,0.53,-1.49,0.91,0.24,1.10,0.88,1.05,1.10,1.38,1.73,1.92,0.83,0.81,1.35,0.73,1.86,4.48,1.26,-2.16,-10.28,-1.82,-10.29,0.29,0.32,1.03,45;27
237_Coo,Coo,5,0.74,1.34,-4.83,-1.32,-1.85,-0.29,0.25,-0.50,-3.33,-0.46,-1.92,-6.51,-0.56,-3.71,-1.19,-1.50,5.98,2.38,0.34,0.87,4.58,1.28,2.18,4.10,3.04,2.22,0.86,0.42,2.77,0.12,43;41;25;46
85_Coo,Coo,3,-2.45,-1.97,-1.94,-3.11,-0.20,-1.06,0.31,1.56,3.32,3.31,1.13,-1.49,-0.93,-0.67,-0.70,1.45,2.63,2.37,0.75,1.35,0.73,-0.22,0.15,-0.72,-0.64,-1.39,-1.13,-0.83,-1.00,-0.28,42;49
67_Coo,Coo,3,-2.36,5.15,-1.51,0.87,1.45,1.00,0.98,1.41,5.33,5.09,8.59,1.44,3.73,2.67,0.67,0.73,2.66,4.69,0.92,0.51,0.52,0.68,1.25,-0.70,-1.51,-1.44,-1.32,-0.92,-0.53,0.83,43;29
26_Coo,Coo,4,-0.94,-0.66,-0.06,0.09,-2.66,-1.03,-0.01,-1.33,-1.21,1.07,-1.39,-1.57,-1.57,1.30,-0.16,1.09,3.10,-0.90,4.73,-0.25,-0.21,-4.12,-2.83,0.11,0.01,-0.47,-0.26,-0.80,-0.96,-0.26,24;29;29
77_Coo,Coo,6,1.86,0.49,2.97,1.17,-1.65,-1.32,2.55,0.94,-3.62,2.37,2.15,0.96,-0.41,-0.73,-1.47,-0.54,0.32,-0.60,-3.23,-1.85,0.05,-0.66,0.11,-0.79,-3.30,-3.98,-2.67,-4.05,-3.42,0.26,28;23;19;38;17
126_Coo,Coo,3,1.66,1.12,0.18,0.48,0.23,0.96,0.29,0.91,-1.01,-0.77,-0.69,-0.53,-1.69,-3.99,3.11,1.61,0.24,0.58,1.14,0.54,1.35,-2.67,-0.83,-0.64,-0.63,-0.18,-0.58,-0.38,-0.20,-0.07,35;36
75_Coo,Coo,3,-1.50,-3.85,-0.91,-8.43,-0.97,6.61,-8.33,1.31,2.55,0.24,0.93,-2.94,-3.97,-6.03,-0.11,-0.18,-2.10,-0.79,-1.79,-2.19,-4.09,-4.98,-7.90,-1.49,-0.24,0.32,-1.51,-2.44,-4.02,-1.38,19;39
48_Coo,Coo,8,2.47,1.09,-0.48,0.04,0.49,1.91,-0.95,-1.08,-0.79,-3.47,-2.28,-0.70,-0.32,-0.77,-0.86,-0.45,2.56,-0.84,0.74,2.11,-2.13,1.19,1.35,0.81,0.95,1.09,1.25,1.47,2.26,0.06,41;35;20;36;46;31;31
53_Coo,Coo,5,1.62,-0.69,-1.08,1.29,-1.53,1.78,-2.28,-2.95,1.10,0.70,0.05,-1.28,0.90,0.49,0.99,1.32,0.41,-3.38,-0.90,-1.32,-1.81,-1.41,-1.74,0.36,0.35,0.45,-0.10,-0.35,0.56,-0.36,19;15;20;23
274_Greeting,Greeting,4,-0.12,-4.47,-0.18,-1.17,2.59,2.74,4.18,1.04,-2.87,-2.28,-0.53,0.73,1.65,2.60,9.09,3.74,2.25,2.43,5.53,0.88,1.41,1.48,3.34,1.19,1.73,3.85,3.75,2.69,1.69,1.70,45;18;15
37_Greeting,Greeting,7,-0.74,-4.97,-0.71,-2.46,-0.11,1.62,-0.08,1.05,-1.09,0.84,-0.54,0.77,-2.18,-0.08,-0.01,-0.10,-0.93,1.09,-0.78,0.57,-0.65,0.23,0.01,-0.16,-0.70,-0.52,-2.10,-1.68,-1.53,-0.15,48;35;38;57;42;48
247_Greeting,Greeting,10,2.27,0.76,3.59,0.95,1.26,1.15,1.43,1.13,1.07,1.01,0.29,0.12,2.97,2.08,2.89,3.20,3.80,3.30,4.61,2.46,2.69,2.78,2.29,3.66,3.07,2.25,2.96,3.65,4.71,1.66,72;127;47;24;14;33;28;11;33
246_Greeting,Greeting,10,1.49,-0.24,1.45,1.84,2.90,2.15,1.25,1.21,-0.11,1.85,0.69,1.12,3.13,3.49,1.53,2.64,2.87,3.76,4.44,3.15,3.02,2.96,2.38,2.24,3.45,2.88,2.78,2.86,2.19,2.05,101;90;35;52;23;27;15;18;20
